海润枫景家园  | 3室2厅 | 78.87平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)2007年建板楼  -  泰山街道,159万单价20160元/平米,https://nj.lianjia.com/xiaoqu/2511052829511/
金蕊家苑  | 2室2厅 | 93.16平米 | 南 北 | 简装 | 有电梯,低楼层(共11层)2007年建板楼  -  安德门,285万单价30593元/平米,https://nj.lianjia.com/xiaoqu/1411000000388/
凤凰和熙一期  | 2室2厅 | 88.68平米 | 南 | 精装 | 有电梯,高楼层(共18层)2009年建板楼  -  应天西路,455万单价51309元/平米,https://nj.lianjia.com/xiaoqu/1411000000150/
秦淮教师公寓  | 3室1厅 | 97.14平米 | 南 北 | 其他 | 无电梯,低楼层(共7层)1999年建板楼  -  洪家园,330万单价33972元/平米,https://nj.lianjia.com/xiaoqu/2511051952479/
牵牛巷  | 2室2厅 | 70.07平米 | 南 北 | 简装 | 无电梯,低楼层(共7层)1984年建板塔结合  -  长乐路,215万单价30684元/平米,https://nj.lianjia.com/xiaoqu/1411042657258/
雅居乐花园  | 2室1厅 | 72.71平米 | 北 | 精装,中楼层(共11层)2009年建板塔结合  -  秦虹,278万单价38235元/平米,https://nj.lianjia.com/xiaoqu/1411043590236/
湖滨世纪花园  | 3室2厅 | 120.48平米 | 南 北 | 精装,中楼层(共6层)2000年建板楼  -  百家湖,312万单价25897元/平米,https://nj.lianjia.com/xiaoqu/1411055185117/
拓园  | 1室1厅 | 43.69平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1996年建板楼  -  茶南,127万单价29069元/平米,https://nj.lianjia.com/xiaoqu/1411000000670/
赛世香樟园  | 2室2厅 | 90.89平米 | 南 | 简装 | 有电梯,高楼层(共18层)2009年建板楼  -  仙林,295万单价32457元/平米,https://nj.lianjia.com/xiaoqu/2511052332740/
钱塘望景花园  | 3室1厅 | 110.66平米 | 南 北 | 精装 | 无电梯,低楼层(共5层)2008年建板楼  -  江浦街道,255万单价23044元/平米,https://nj.lianjia.com/xiaoqu/2511053325193/
市政天元城  | 3室2厅 | 118.69平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2007年建板楼  -  东山镇,310万单价26119元/平米,https://nj.lianjia.com/xiaoqu/2511050946111/
天润城第一街区  | 2室2厅 | 85.89平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2006年建板楼  -  桥北,177万单价20608元/平米,https://nj.lianjia.com/xiaoqu/1420021434146740/
长乐路  | 2室1厅 | 52.72平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1988年建板塔结合  -  夫子庙,145万单价27504元/平米,https://nj.lianjia.com/xiaoqu/1411042062771/
悦民公寓北区  | 2室1厅 | 63.98平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2005年建板塔结合  -  麒麟镇,140万单价21882元/平米,https://nj.lianjia.com/xiaoqu/2511052724984/
阳光里  | 3室1厅 | 77.24平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)2001年建板楼  -  洪家园,248万单价32108元/平米,https://nj.lianjia.com/xiaoqu/1411046917753/
渡船口小区  | 3室1厅 | 93.45平米 | 西北 | 精装 | 有电梯,中楼层(共28层)2000年建塔楼  -  来凤里,275万单价29428元/平米,https://nj.lianjia.com/xiaoqu/1411041184023/
康馨花园  | 2室1厅 | 64.49平米 | 南 北 | 其他 | 无电梯,中楼层(共7层)2000年建板楼  -  秦虹,196万单价30393元/平米,https://nj.lianjia.com/xiaoqu/1411041435446/
马府新村  | 2室1厅 | 60.46平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1990年建板楼  -  常府街,218万单价36057元/平米,https://nj.lianjia.com/xiaoqu/1411041609662/
万科金色里程  | 2室2厅 | 89.22平米 | 南 | 精装 | 有电梯,低楼层(共18层)2010年建板塔结合  -  铁心桥,305万单价34186元/平米,https://nj.lianjia.com/xiaoqu/1411043513596/
拉德芳斯  | 3室2厅 | 139.63平米 | 南 | 精装 | 有电梯,中楼层(共15层)2007年建塔楼  -  奥体,700万单价50133元/平米,https://nj.lianjia.com/xiaoqu/1411000000423/
石门坎2号  | 2室1厅 | 63.68平米 | 南 北 | 简装 | 有电梯,中楼层(共7层)1999年建板塔结合  -  光华路,180万单价28267元/平米,https://nj.lianjia.com/xiaoqu/1411046348007/
天润城第七街区  | 2室2厅 | 97.73平米 | 南 北 | 毛坯 | 无电梯,高楼层(共6层)2006年建板楼  -  桥北,186万单价19033元/平米,https://nj.lianjia.com/xiaoqu/1420024864282169/
东升村  | 2室1厅 | 85.03平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1991年建板楼  -  南湖,303万单价35635元/平米,https://nj.lianjia.com/xiaoqu/1411000000118/
华保新寓  | 2室2厅 | 64.5平米 | 南 | 简装 | 无电梯,高楼层(共6层)1998年建板楼  -  草场门大街,230万单价35659元/平米,https://nj.lianjia.com/xiaoqu/1411000000229/
东郊小镇第七街区  | 2室1厅 | 44.6平米 | 东南 | 其他 | 有电梯,中楼层(共7层)2013年建板塔结合  -  麒麟镇,127.5万单价28588元/平米,https://nj.lianjia.com/xiaoqu/2511053017169/
秦淮绿洲北苑   | 叠拼别墅 | 5室2厅 | 249.1平米 | 南 北 | 毛坯 | 无电梯,下叠(共4层)2010年建暂无数据  -  东山镇,850万单价34123元/平米,https://nj.lianjia.com/xiaoqu/148710731869532/
阳光嘉园  | 4室2厅 | 175.02平米 | 南 | 精装 | 有电梯,高楼层(共18层)2007年建塔楼  -  红山,503万单价28740元/平米,https://nj.lianjia.com/xiaoqu/1411046917362/
东渡国际青年城  | 2室2厅 | 77.33平米 | 南 | 其他 | 有电梯,低楼层(共25层)2012年建板塔结合  -  东山镇,215万单价27803元/平米,https://nj.lianjia.com/xiaoqu/1411041414549/
华电三宿舍  | 2室1厅 | 52.29平米 | 南 北 | 简装 | 无电梯,高楼层(共4层)1985年建板楼  -  迈皋桥,123万单价23523元/平米,https://nj.lianjia.com/xiaoqu/2511052765250/
佛心桥  | 2室1厅 | 61.72平米 | 南 | 简装 | 无电梯,高楼层(共6层)1986年建板楼  -  后宰门,180万单价29164元/平米,https://nj.lianjia.com/xiaoqu/1411000000187/
瑞金路1-58号院  | 1室1厅 | 51.96平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)1999年建板楼  -  瑞金路,158万单价30409元/平米,https://nj.lianjia.com/xiaoqu/1411043478928/
大地豪庭  | 3室1厅 | 141.75平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2004年建板塔结合  -  月牙湖,478万单价33722元/平米,https://nj.lianjia.com/xiaoqu/1411046468302/
苏建豪庭  | 3室2厅 | 136.4平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2005年建板楼  -  应天西路,480万单价35191元/平米,https://nj.lianjia.com/xiaoqu/1411000000582/
仙鹤里小区  | 2室1厅 | 51.49平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1992年建板楼  -  来凤里,168万单价32628元/平米,https://nj.lianjia.com/xiaoqu/1411041962923/
腾达雅苑  | 5室3厅 | 151.86平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2002年建板楼  -  应天西路,428万单价28184元/平米,https://nj.lianjia.com/xiaoqu/1411000000639/
东郊小镇第三街区  | 5室1厅 | 141.81平米 | 南 | 精装 | 无电梯,高楼层(共6层)2008年建板塔结合  -  麒麟镇,240万单价16925元/平米,https://nj.lianjia.com/xiaoqu/2511053023753/
五台山  | 3室1厅 | 65.77平米 | 南 北 | 简装 | 无电梯,中楼层(共5层)1990年建板楼  -  华侨路,340万单价51696元/平米,https://nj.lianjia.com/xiaoqu/1411045063626/
黄埔花园  | 2室2厅 | 91.57平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1999年建板楼  -  后宰门,322万单价35165元/平米,https://nj.lianjia.com/xiaoqu/1411000000276/
东郊小镇第三街区  | 3室2厅 | 110.08平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)2008年建板塔结合  -  麒麟镇,235万单价21349元/平米,https://nj.lianjia.com/xiaoqu/2511053023753/
四方新村四村  | 1室1厅 | 44.2平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)2000年建板塔结合  -  月牙湖,127万单价28734元/平米,https://nj.lianjia.com/xiaoqu/1411043221560/
鸿运嘉园  | 2室2厅 | 89.88平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2011年建板楼  -  仙林,278.8万单价31020元/平米,https://nj.lianjia.com/xiaoqu/2511051425437/
明月港湾星河湾  | 2室2厅 | 88.04平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2005年建板楼  -  岔路口,235万单价26693元/平米,https://nj.lianjia.com/xiaoqu/1420023314831999/
鸿意星城  | 1室1厅 | 67.69平米 | 南 西 | 精装 | 有电梯,中楼层(共10层)2007年建板楼  -  月牙湖,197万单价29104元/平米,https://nj.lianjia.com/xiaoqu/1411046510042/
琵琶小区  | 3室1厅 | 73.48平米 | 南 | 精装 | 无电梯,高楼层(共6层)1990年建板塔结合  -  夫子庙,266万单价36201元/平米,https://nj.lianjia.com/xiaoqu/1411041890869/
丹佛小镇  | 3室2厅 | 95.85平米 | 南 | 其他 | 有电梯,低楼层(共11层)2008年建板楼  -  将军大道,255万单价26605元/平米,https://nj.lianjia.com/xiaoqu/1411050279764/
凤凰庄  | 2室1厅 | 55.69平米 | 南 | 简装 | 无电梯,中楼层(共5层)1985年建板楼  -  汉中门大街,240万单价43096元/平米,https://nj.lianjia.com/xiaoqu/1411000000179/
锦虹美苑  | 2室1厅 | 70.77平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2004年建板楼  -  能仁里,265万单价37446元/平米,https://nj.lianjia.com/xiaoqu/1411041887733/
金陵世家  | 3室2厅 | 113.06平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2001年建板楼  -  应天西路,430万单价38033元/平米,https://nj.lianjia.com/xiaoqu/1411000000373/
明发滨江新城三期  | 4室2厅 | 143.97平米 | 南 北 | 精装 | 有电梯,低楼层(共27层)2008年建塔楼  -  桥北,295万单价20491元/平米,https://nj.lianjia.com/xiaoqu/2511053251006/
王府园小区  | 2室1厅 | 66.97平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)1990年建板楼  -  升州路,280万单价41810元/平米,https://nj.lianjia.com/xiaoqu/1411000000686/
御水湾花园  | 3室2厅 | 106.44平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2005年建板楼  -  光华路,398万单价37392元/平米,https://nj.lianjia.com/xiaoqu/1411046168785/
百家湖西花园伦敦城  | 2室1厅 | 66.88平米 | 南 | 其他 | 有电梯,中楼层(共18层)2006年建板塔结合  -  百家湖,215万单价32148元/平米,https://nj.lianjia.com/xiaoqu/1411049712745/
小火瓦巷  | 2室0厅 | 45.58平米 | 南 | 其他 | 无电梯,中楼层(共7层)1977年建板楼  -  新街口,195万单价42782元/平米,https://nj.lianjia.com/xiaoqu/1411000000737/
东方城晨曦园  | 4室1厅 | 156.54平米 | 南 北 | 简装 | 无电梯,低楼层(共4层)2000年建板楼  -  樱驼花园,490万单价31302元/平米,https://nj.lianjia.com/xiaoqu/1411063642909/
瀛洲湾  | 2室1厅 | 96.87平米 | 南 北 | 其他 | 有电梯,低楼层(共11层)2006年建板塔结合  -  岔路口,230万单价23744元/平米,https://nj.lianjia.com/xiaoqu/1411099411851/
钟山花园城博雅居  | 3室2厅 | 108.27平米 | 南 北 | 精装 | 有电梯,中楼层(共11层)2003年建板楼  -  卫岗,460万单价42487元/平米,https://nj.lianjia.com/xiaoqu/1411046505991/
江岸水城  | 2室2厅 | 86.37平米 | 南 | 精装 | 有电梯,低楼层(共11层)2009年建板楼  -  桥北,183万单价21188元/平米,https://nj.lianjia.com/xiaoqu/2511053237258/
锦绣花园金桂园  | 2室2厅 | 71.79平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2000年建板楼  -  麒麟镇,160万单价22288元/平米,https://nj.lianjia.com/xiaoqu/2511052318616/
诚品城  | 3室2厅 | 98.81平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2009年建板楼  -  仙林,252万单价25504元/平米,https://nj.lianjia.com/xiaoqu/2511051425261/
康润园  | 3室1厅 | 78.69平米 | 南 | 简装 | 无电梯,高楼层(共6层)2003年建板楼  -  安德门,205万单价26052元/平米,https://nj.lianjia.com/xiaoqu/2511052161839/
爱达花园兰花园  | 2室2厅 | 66.11平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1995年建板楼  -  应天西路,155万单价23446元/平米,https://nj.lianjia.com/xiaoqu/1411000000002/
银城花园北片  | 3室1厅 | 79.91平米 | 南 北 | 简装 | 无电梯,低楼层(共7层)1996年建板楼  -  龙江,385万单价48180元/平米,https://nj.lianjia.com/xiaoqu/1411000000783/
融侨中央花园1期  | 3室2厅 | 135.48平米 | 南 北 | 精装 | 有电梯,低楼层(共18层)2009年建板楼  -  奥体,610万单价45026元/平米,https://nj.lianjia.com/xiaoqu/1411000000553/
天地新城天琴座  | 2室2厅 | 95.12平米 | 南 北 | 精装 | 无电梯,低楼层(共6层)2004年建板塔结合  -  岔路口,233万单价24496元/平米,https://nj.lianjia.com/xiaoqu/1412025478262365/
君安东苑  | 7室2厅 | 207.89平米 | 南 北 | 精装,高楼层(共6层)2000年建板楼  -  月牙湖,635万单价30545元/平米,https://nj.lianjia.com/xiaoqu/1411046606875/
东郊小镇第四街区   | 联排别墅 | 4室3厅 | 153.98平米 | 南 北 | 精装 | 无电梯,3层2013年建暂无数据  -  麒麟镇,396万单价25718元/平米,https://nj.lianjia.com/xiaoqu/2511053030010/
华电一宿舍  | 2室1厅 | 62.27平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1990年建板楼  -  红山,155万单价24892元/平米,https://nj.lianjia.com/xiaoqu/2511052786166/
江佑铂庭  | 3室2厅 | 92.36平米 | 南 | 精装 | 有电梯,中楼层(共18层)2012年建板楼  -  江浦街道,275万单价29775元/平米,https://nj.lianjia.com/xiaoqu/2511053656490/
挪威森林  | 2室1厅 | 89.87平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2006年建板楼  -  将军大道,260万单价28931元/平米,https://nj.lianjia.com/xiaoqu/1411049358995/
天地新城天柱座  | 3室2厅 | 103.96平米 | 南 北 | 其他 | 有电梯,高楼层(共11层)2003年建板塔结合  -  岔路口,255万单价24529元/平米,https://nj.lianjia.com/xiaoqu/1412020975940323/
银城花园北片  | 2室1厅 | 62.92平米 | 南 北 | 毛坯 | 无电梯,低楼层(共7层)1996年建板楼  -  龙江,330万单价52448元/平米,https://nj.lianjia.com/xiaoqu/1411000000783/
瑞鑫兰庭  | 2室1厅 | 56.08平米 | 东 | 简装 | 有电梯,低楼层(共16层)2005年建板塔结合  -  大光路,235万单价41905元/平米,https://nj.lianjia.com/xiaoqu/1411042935379/
天地新城天柱座  | 1室1厅 | 43.31平米 | 西 | 其他 | 有电梯,中楼层(共18层)2006年建板塔结合  -  岔路口,98万单价22628元/平米,https://nj.lianjia.com/xiaoqu/1412020975940323/
台园  | 2室1厅 | 63.69平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1994年建板楼  -  南苑,160万单价25122元/平米,https://nj.lianjia.com/xiaoqu/1411000000671/
月光广场  | 2室1厅 | 92.17平米 | 南 | 简装 | 有电梯,低楼层(共32层)2000年建塔楼  -  龙江,299万单价32441元/平米,https://nj.lianjia.com/xiaoqu/1411000000803/
铁匠营  | 2室1厅 | 49.14平米 | 南 北 | 简装 | 无电梯,高楼层(共5层)1998年建塔楼  -  孝陵卫,147万单价29915元/平米,https://nj.lianjia.com/xiaoqu/1411046520814/
水西门大街133号  | 2室1厅 | 62平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板塔结合  -  南湖,180万单价29033元/平米,https://nj.lianjia.com/xiaoqu/1420021652267567/
弓箭坊小区  | 2室1厅 | 75.19平米 | 南 | 精装 | 有电梯,高楼层(共30层)1999年建塔楼  -  来凤里,210万单价27930元/平米,https://nj.lianjia.com/xiaoqu/1411041184255/
天润城第六街区  | 2室1厅 | 91.67平米 | 南 北 | 简装 | 无电梯,高楼层(共6层)2006年建板楼  -  桥北,170万单价18545元/平米,https://nj.lianjia.com/xiaoqu/1420024863247415/
月安花园歌月居  | 5室2厅 | 173.23平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板塔结合  -  奥体,660万单价38100元/平米,https://nj.lianjia.com/xiaoqu/1411000000777/
盐仓桥  | 2室1厅 | 64.38平米 | 南 北 | 其他 | 无电梯,低楼层(共6层)1986年建板楼  -  福建路,190万单价29513元/平米,https://nj.lianjia.com/xiaoqu/1411047087092/
兴达新寓二村  | 2室1厅 | 62.49平米 | 南 北 | 精装 | 无电梯,低楼层(共7层)1999年建板楼  -  应天西路,222万单价35526元/平米,https://nj.lianjia.com/xiaoqu/1411000000730/
安怀村  | 2室1厅 | 52.37平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1990年建板楼  -  小市,129万单价24633元/平米,https://nj.lianjia.com/xiaoqu/1411046917294/
康定里  | 2室1厅 | 44.7平米 | 南 | 其他 | 有电梯,中楼层(共7层)2002年建板楼  -  卫岗,218万单价48770元/平米,https://nj.lianjia.com/xiaoqu/1411046464919/
诚品城  | 3室2厅 | 91.32平米 | 东 南 北 | 精装 | 无电梯,高楼层(共6层)2009年建板楼  -  仙林,230万单价25187元/平米,https://nj.lianjia.com/xiaoqu/2511051425261/
赞成湖畔居  | 2室1厅 | 88.07平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2006年建板楼  -  红山,325万单价36903元/平米,https://nj.lianjia.com/xiaoqu/1411046917754/
鸿邺大厦  | 2室1厅 | 74.53平米 | 西南 | 精装 | 有电梯,高楼层(共32层)1998年建板楼  -  朝天宫,218万单价29250元/平米,https://nj.lianjia.com/xiaoqu/1411041208743/
宁工新寓二村  | 2室2厅 | 73.75平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)2000年建板楼  -  草场门大街,289万单价39187元/平米,https://nj.lianjia.com/xiaoqu/1411000000500/
新禧家园  | 2室1厅 | 81.42平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)2001年建板楼  -  湖西街,262万单价32179元/平米,https://nj.lianjia.com/xiaoqu/1411000000763/
御水湾花园  | 2室2厅 | 91.72平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)2007年建板楼  -  光华路,342万单价37288元/平米,https://nj.lianjia.com/xiaoqu/1411046168785/
21世纪国际公寓  | 2室1厅 | 92.86平米 | 东 南 | 其他 | 有电梯,中楼层(共26层)2011年建塔楼  -  百家湖,278万单价29938元/平米,https://nj.lianjia.com/xiaoqu/2511051140596/
利星公寓  | 3室1厅 | 105.04平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)1999年建板楼  -  南苑,340万单价32369元/平米,https://nj.lianjia.com/xiaoqu/1411000000451/
天地新城天玑座  | 4室2厅 | 85.55平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,235万单价27470元/平米,https://nj.lianjia.com/xiaoqu/1412024341607231/
康定里  | 3室1厅 | 70.6平米 | 南 北 | 简装 | 有电梯,中楼层(共7层)2002年建板楼  -  卫岗,278万单价39377元/平米,https://nj.lianjia.com/xiaoqu/1411046464919/
腾飞园  | 3室1厅 | 80.87平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1996年建板楼  -  龙江,315万单价38952元/平米,https://nj.lianjia.com/xiaoqu/1411000000640/
御河苑  | 3室1厅 | 98.52平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1999年建板楼  -  大光路,348万单价35323元/平米,https://nj.lianjia.com/xiaoqu/1411000000819/
世纪东山  | 3室2厅 | 110.11平米 | 南 北 | 毛坯 | 有电梯,高楼层(共10层)2008年建板楼  -  东山镇,255万单价23159元/平米,https://nj.lianjia.com/xiaoqu/2511051639378/
姜家园  | 2室1厅 | 54.41平米 | 南 北 | 精装 | 无电梯,中楼层(共7层)1990年建板楼  -  热河南路,165万单价30326元/平米,https://nj.lianjia.com/xiaoqu/1411046607631/
威尼斯水城第一街区  | 3室2厅 | 107.06平米 | 南 北 | 简装 | 有电梯,中楼层(共10层)2015年建板楼  -  桥北,235万单价21951元/平米,https://nj.lianjia.com/xiaoqu/2511053303407/
文安里小区南区  | 3室1厅 | 49.88平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)1982年建板楼  -  秦虹,135万单价27065元/平米,https://nj.lianjia.com/xiaoqu/2511051883441/
银轮花园  | 2室1厅 | 62.78平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2000年建板楼  -  湖西街,225万单价35840元/平米,https://nj.lianjia.com/xiaoqu/1411000000837/
墨香山庄  | 3室2厅 | 104.15平米 | 南 北 | 精装 | 有电梯,高楼层(共11层)2004年建板楼  -  月苑,320万单价30725元/平米,https://nj.lianjia.com/xiaoqu/1411046917351/
翠屏东南  | 3室2厅 | 125.02平米 | 南 北 | 简装 | 无电梯,中楼层(共6层)2005年建板楼  -  将军大道,300万单价23997元/平米,https://nj.lianjia.com/xiaoqu/1411049292642/
中浩学府风景  | 2室2厅 | 81.73平米 | 南 | 毛坯 | 无电梯,低楼层(共4层)2009年建板塔结合  -  江宁大学城,177万单价21657元/平米,https://nj.lianjia.com/xiaoqu/1410862290022964/
天地新城天枢座  | 2室2厅 | 86.83平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2006年建板塔结合  -  岔路口,218万单价25107元/平米,https://nj.lianjia.com/xiaoqu/1412020850109721/
江佑铂庭  | 2室2厅 | 92.69平米 | 南 | 毛坯 | 有电梯,高楼层(共18层)2012年建板楼  -  江浦街道,258万单价27835元/平米,https://nj.lianjia.com/xiaoqu/2511053656490/
天润城第十一街区  | 3室2厅 | 88.58平米 | 南 北 | 精装 | 有电梯,低楼层(共11层)2010年建板塔结合  -  桥北,192万单价21676元/平米,https://nj.lianjia.com/xiaoqu/1411099790708/
金舟花园  | 2室1厅 | 64.67平米 | 南 北 | 精装 | 有电梯,低楼层(共7层)1996年建板塔结合  -  龙江,430万单价66492元/平米,https://nj.lianjia.com/xiaoqu/1411000000409/
程阁老巷  | 2室1厅 | 61.18平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1990年建板楼  -  新街口,248万单价40537元/平米,https://nj.lianjia.com/xiaoqu/1411041801960/
迎江园  | 2室1厅 | 48.44平米 | 南 北 | 简装 | 无电梯,高楼层(共7层)1996年建板楼  -  定淮门大街,318万单价65649元/平米,https://nj.lianjia.com/xiaoqu/1411043427774/
新河一村  | 2室1厅 | 45.79平米 | 东 南 北 | 简装 | 无电梯,低楼层(共7层)1994年建板楼  -  定淮门大街,320万单价69885元/平米,https://nj.lianjia.com/xiaoqu/1411041537407/
东白菜园  | 2室1厅 | 56.46平米 | 东 | 简装 | 有电梯,中楼层(共7层)1991年建板楼  -  五老村,185万单价32767元/平米,https://nj.lianjia.com/xiaoqu/1411000000094/
百家湖西花园伦敦城  | 3室2厅 | 123.33平米 | 南 | 精装 | 有电梯,中楼层(共16层)2006年建板塔结合  -  百家湖,310万单价25136元/平米,https://nj.lianjia.com/xiaoqu/1411049712745/
天润城第四街区  | 2室2厅 | 87.91平米 | 南 | 精装 | 无电梯,低楼层(共6层)2006年建板楼  -  桥北,175万单价19907元/平米,https://nj.lianjia.com/xiaoqu/2511052858805/
桥北新村  | 4室2厅 | 136.34平米 | 南 北 | 精装 | 无电梯,中楼层(共6层)2008年建板楼  -  桥北,240万单价17604元/平米,https://nj.lianjia.com/xiaoqu/2511052926626/
天地新城天玑座  | 3室2厅 | 88.62平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,226万单价25503元/平米,https://nj.lianjia.com/xiaoqu/1412024341607231/
金象园  | 2室1厅 | 77.06平米 | 南 | 简装 | 无电梯,中楼层(共6层)1999年建板楼  -  光华路,245万单价31794元/平米,https://nj.lianjia.com/xiaoqu/1411043490515/
光华园  | 2室1厅 | 52.24平米 | 南 北 | 精装 | 无电梯,高楼层(共7层)1987年建板楼  -  大光路,146万单价27948元/平米,https://nj.lianjia.com/xiaoqu/1411043579657/
花园路70号  | 4室1厅 | 76.33平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1997年建板塔结合  -  锁金村,245万单价32098元/平米,https://nj.lianjia.com/xiaoqu/1411000000315/
瑞金北村  | 4室2厅 | 164.18平米 | 南 北 | 精装 | 有电梯,中楼层(共9层)2001年建板楼  -  瑞金路,770万单价46900元/平米,https://nj.lianjia.com/xiaoqu/1411043434688/
金马郦城西区  | 2室2厅 | 53.48平米 | 南 北 | 精装 | 无电梯,低楼层(共3层)2005年建板楼  -  奥体,226万单价42259元/平米,https://nj.lianjia.com/xiaoqu/1411000000376/
随园  | 2室2厅 | 71.67平米 | 南 | 简装 | 有电梯,中楼层(共7层)1994年建板楼  -  宁海路,236万单价32929元/平米,https://nj.lianjia.com/xiaoqu/1411000000621/
金虹花园  | 3室2厅 | 109.97平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2003年建板楼  -  南苑,382万单价34737元/平米,https://nj.lianjia.com/xiaoqu/1411000000354/
长虹路后街  | 3室1厅 | 66.73平米 | 南 北 | 简装 | 无电梯,低楼层(共6层)1993年建板楼  -  南湖,186万单价27874元/平米,https://nj.lianjia.com/xiaoqu/1411000000065/
东方龙湖湾南湖苑  | 2室2厅 | 89.46平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2011年建塔楼  -  江宁大学城,238万单价26605元/平米,https://nj.lianjia.com/xiaoqu/1420027178545095/
丹佛小镇  | 3室2厅 | 88.82平米 | 南 北 | 其他 | 有电梯,中楼层(共11层)2008年建板楼  -  将军大道,239万单价26909元/平米,https://nj.lianjia.com/xiaoqu/1411050279764/
双乐园小区  | 2室1厅 | 43.8平米 | 南 北 | 简装 | 无电梯,中楼层(共5层)1987年建板楼  -  来凤里,140万单价31964元/平米,https://nj.lianjia.com/xiaoqu/1411043420529/
武夷绿洲观竹苑  | 2室2厅 | 89.48平米 | 南 | 精装 | 有电梯,中楼层(共16层)2007年建板楼  -  科学园,245万单价27381元/平米,https://nj.lianjia.com/xiaoqu/2511051341161/
天地新城天心座  | 2室1厅 | 92.02平米 | 南 北 | 其他 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,216万单价23474元/平米,https://nj.lianjia.com/xiaoqu/1412024341607012/
海宇公寓  | 3室1厅 | 109.34平米 | 南 北 | 简装 | 无电梯,高楼层(共9层)1999年建板塔结合  -  五老村,375万单价34297元/平米,https://nj.lianjia.com/xiaoqu/1411045976504/
康居里  | 2室1厅 | 60.21平米 | 南 北 | 简装 | 无电梯,中楼层(共7层)1996年建板楼  -  秦虹,160万单价26574元/平米,https://nj.lianjia.com/xiaoqu/1411046917756/
紫金银座  | 2室1厅 | 55.45平米 | 南 | 其他 | 有电梯,中楼层(共11层)2007年建板塔结合  -  江宁大学城,142万单价25609元/平米,https://nj.lianjia.com/xiaoqu/1411100613267/
融侨世家  | 3室2厅 | 90.43平米 | 南 北 | 其他 | 有电梯,中楼层(共18层)2011年建板楼  -  江宁大学城,253万单价27978元/平米,https://nj.lianjia.com/xiaoqu/2511051151069/
天地新城天心座  | 4室1厅 | 158.55平米 | 南 北 | 精装 | 无电梯,高楼层(共6层)2006年建板塔结合  -  岔路口,317万单价19994元/平米,https://nj.lianjia.com/xiaoqu/1412024341607012/
石门坎2号  | 2室1厅 | 63.82平米 | 南 北 | 其他 | 有电梯,高楼层(共7层)1999年建板塔结合  -  光华路,160万单价25071元/平米,https://nj.lianjia.com/xiaoqu/1411046348007/
怡康新寓  | 2室2厅 | 94平米 | 南 北 | 简装 | 有电梯,低楼层(共9层)2004年建板楼  -  应天西路,337万单价35852元/平米,https://nj.lianjia.com/xiaoqu/1411000000835/
